       Ts         Scale        Bias12     Misalign34       Bias34 
    0.6769    -0.1937402    -0.0000573   611.2978783    -0.0000639
    0.6319    -0.1936309     0.0002774   615.0215078     0.0002660
    0.5786    -0.1936033     0.0003667   615.5879092     0.0003674
    0.5272    -0.1936900     0.0003527   617.2394653     0.0003364
    0.4767    -0.1938805     0.0003234   617.8960897     0.0003150
    0.5272    -0.1936739     0.0002483   614.2173269     0.0001138
    0.5786    -0.1936128     0.0002920   613.7421525     0.0002959
    0.6319    -0.1936299     0.0002052   613.4759363     0.0001908
    0.6769    -0.1937467    -0.0000249   609.7648797    -0.0000339
                
