Scan,Time,101 (VDC),Alarm 101,102 (VDC),Alarm 102,103 (VDC),Alarm 103,104 (VDC),Alarm 104,105 (VDC),Alarm 105,106 (VDC),Alarm 106,201 (VDC),Alarm 201,202 (VDC),Alarm 202,203 (VDC),Alarm 203,204 (VDC),Alarm 204,205 (VDC),Alarm 205,206 (VDC),Alarm 206
1,5/12/2019 13:16:24:579,-0.36776239,0,-0.36205887,0,-0.36860329,0,-0.36703518,0,-0.373725,0,-0.36194584,0,0.51264,0,0.51771,0,0.51782,0,0.5106,0,0.51776,0,0.51517,0
2,5/12/2019 13:16:48:478,-0.36776817,0,-0.36206325,0,-0.36860647,0,-0.36704005,0,-0.37372629,0,-0.3619497,0,0.51143,0,0.51688,0,0.51699,0,0.51093,0,0.51787,0,0.51446,0
3,5/12/2019 13:17:12:314,-0.36777256,0,-0.36206735,0,-0.36861107,0,-0.36704307,0,-0.37372981,0,-0.36195367,0,0.51093,0,0.51694,0,0.51595,0,0.5106,0,0.51683,0,0.51457,0
4,5/12/2019 13:17:36:150,-0.36777955,0,-0.36207201,0,-0.36861435,0,-0.36704771,0,-0.3737321,0,-0.36195748,0,0.51027,0,0.51628,0,0.51617,0,0.50911,0,0.51716,0,0.51385,0
5,5/12/2019 13:16:24:579,-0.36776239,0,-0.36205887,0,-0.36860329,0,-0.36703518,0,-0.373725,0,-0.36194584,0,0.51264,0,0.51771,0,0.51782,0,0.5106,0,0.51776,0,0.51517,0
6,5/12/2019 13:16:48:478,-0.36776817,0,-0.36206325,0,-0.36860647,0,-0.36704005,0,-0.37372629,0,-0.3619497,0,0.51143,0,0.51688,0,0.51699,0,0.51093,0,0.51787,0,0.51446,0
7,5/12/2019 13:17:12:314,-0.36777256,0,-0.36206735,0,-0.36861107,0,-0.36704307,0,-0.37372981,0,-0.36195367,0,0.51093,0,0.51694,0,0.51595,0,0.5106,0,0.51683,0,0.51457,0
8,5/12/2019 13:17:36:150,-0.36777955,0,-0.36207201,0,-0.36861435,0,-0.36704771,0,-0.3737321,0,-0.36195748,0,0.51027,0,0.51628,0,0.51617,0,0.50911,0,0.51716,0,0.51385,0
9,5/12/2019 13:16:24:579,-0.36776239,0,-0.36205887,0,-0.36860329,0,-0.36703518,0,-0.373725,0,-0.36194584,0,0.51264,0,0.51771,0,0.51782,0,0.5106,0,0.51776,0,0.51517,0
10,5/12/2019 13:16:48:478,-0.36776817,0,-0.36206325,0,-0.36860647,0,-0.36704005,0,-0.37372629,0,-0.3619497,0,0.51143,0,0.51688,0,0.51699,0,0.51093,0,0.51787,0,0.51446,0
